Ausrüstung 1;Ausrüstung 2;Ausrüstung 3;Ausrüstung 4;Waffe;Rüstung;Waffe (mit Schriftrolle);Rüstung (mit Schriftrolle);Unreine Schriftrollen;Heilige Schriftrollen;Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten;Art des Todes;Offene Schuld
Leinenbeutel – 3 Gegenstände;{W4}x rotes Gift (Zähigkeit Sg12 oder W10 Schaden);nichts;tote schwarze Katze;Flamberg W10 Schaden;Business-Anzug aus Leder (-W2 Schaden, Stufe 1);Blasrohr W2 Schaden;Blecherne Topfdeckel-Brustplatte (-W1 Schaden, Stufe 0);Flaum;Faulende Hand;Brint;Rachsüchtig;Langes verfilztes Haar, mindestens eine Kakerlake.;Lache unkontrolliert über alles Schreckliche.;Ein Puzzle-Würfel wurde falsch gelöst (oder doch nicht?) und hat eine schlummernde Abscheulichkeit geweckt.;Erfroren vor einer verschlossenen Stadttür, während drinnen der Wein überkochte.;Du hast ein Dorf vor einem Angriff gewarnt – außer dem Haus, das dir Geld schuldete.
Gürteltasche – 2 Gegenstände;Silbernes Kruzifix;nichts;Angelrute mit rostigem Haken;Khopesh W6 Schaden;Defekter und stark geflickter Raumanzug (-W8 Schaden, Stufe 1);Schleuder W4 Schaden;Enger Wollpullover mit Metallknöpfen (-W1 Schaden, Stufe 0);Fliege;Finger des Urteils;Nagl;Angsthase;Gebrochene, zerquetschte Ohren.;Alles fühlt sich angenehmer an, wenn man es dem Zufall überlässt. Du triffst keine wichtigen Entscheidungen, ohne dafür eine Münze zu werfen.;Böse Kreaturen lieben den Geruch deiner Ausdünstungen und werden von ihnen angezogen.;Zerschmettert von herabfallenden Knochen aus einem überfüllten Massengalgen.;Du hast dein eigenes Blut für ein Ritual verkauft, wissend, dass es andere schädigt.
Gewickeltes Tuch – 4 Gegenstände;zufällige unreine Schriftrolle;zufällige heilige Schriftrolle;Karminrote Kapuze und Maske;Gladius W6 Schaden;Dinosaurierschuppen-Harnisch (-W2 Schaden, Stufe 1);Angebundener Ziegelstein W4 Schaden;Vollgestopfter Strohumhang (brennt gut) (+W2 Schaden, Stufe -1);Fluffy;Fleischgeflüster;Börda;Faul;Ruckeln und Stottern aufgrund von Nervenschäden oder Stress.;Du nimmst wahr, dass alles, was zu dir gesagt wird, in einem sarkastischen Tonfall gesprochen wird.;Eine Kampfwunde hat einen Metallsplitter hinterlassen, der sich langsam deinem Herzen nähert.;Von einer namenlosen Krankheit hinweggerafft, deren einziges Symptom hoffnungsloses Lachen war.;Du hast in einem Hungerwinter heimlich Essen gehortet, bis andere starben.
Alter Kopfkissenbezug – 4 Gegenstände;zufällige unreine Schriftrolle;zufällige heilige Schriftrolle;lange Schlinge;Falchion W6 Schaden;Fein geschmiedete Glieder aus Stahl (-W4 Schaden, Stufe 1);Eisenstange W4 Schaden;Lederweste mit dekorativen, aber hohlen Nieten (-W1 Schaden, Stufe 0);Gerochen, ausgeteilt;Gebet ohne Worte;Niduk;Verdächtig;Beleibt, gefräßig, sabbernd.;Du sprichst andere nur noch mit „Pisser“ an.;Du wurdest durch Gewalt in die Wildnis gezwungen. Winkende Bäume flüstern. Sprich mit Bäumen, schrei sie an, greif sie an.;In einem brennenden Feld von Pilzen erstickt, nachdem du „nur ein paar“ entzünden wolltest.;Du hast einen Kult geführt, obwohl du wusstest, dass seine Lehren Lüge sind.
Lederbeutel – 5 Gegenstände;zufällige unreine Schriftrolle;zufällige heilige Schriftrolle;kleine Holztruhe (leer);Entermesser W6 Schaden;Gebänderte Rüstung in einer bestickten Lederbrigandine (-W6 Schaden, Stufe 1);Kandare W4 Schaden;Schuppen aus getrocknetem Brot (+W2 Schaden, Stufe -1);Gezellig;Geflüster durch das Tor ;Daeru;Rücksichtslos;Einer Hand fehlen Daumen und Zeigefinger, du greifst wie ein Hummer.;Du kannst niemanden ansprechen ohne vorher kurz zu husten;Verflucht, die Albträume anderer zu teilen, du schläfst weit, weit weg.;Von der eigenen Familie vergiftet, damit sie deine Schulden nicht erben müssen.;Du hast bei einer Seuche Kranke eingesperrt und das Haus angezündet.
Umhängetasche – 6 Gegenstände;Meherere flache Steine. Sehr, sehr uninteressant.;Das Tagebuch eines Gefangenen. Enthält eine ziemlich detaillierte Skizze der Umgebung.;{W8} bunte Glasmurmeln;Rapier W6 Schaden;Gekochtes Dinosaurierleder (-W4 Schaden, Stufe 1);Abgebrochener Kelch W4 Schaden;Dünne Glas-Überrobe mit Rissen (+W2 Schaden, Stufe -1);Glänzen;Gnade des Sünders ;Nifehl;Besorgt;Rote, geschwollene Nase des Alkoholikers.;Du hörst anderen nicht zu, nickst aber überzeugend;Du bist ständig im Krieg mit allen Rabenvögeln. Kein Kontakt ohne etwas Gewalt.;Während einer Predigt spontan explodiert – niemand ist sicher, ob es göttliche Strafe oder schlechtes Bier war.;Du hast einen Golem oder Untoten erschaffen und ihn einfach „laufen lassen“.
Rucksack – 7 Gegenstände;Ein einzelner Handschuh;Ein altes Buch über die Pflege und Wartung eines Verlieses. Enthält auf der Rückseite eine handgezeichnete Karte.;Schneeschuh (Heimat einer Spinne);Krummsäbel W6 Schaden;Gelenkige Rüstung aus Messinguhrwerken (-W8 Schaden, Stufe 1);Lauch W2 Schaden;Kettenhemd aus Draht und Büroklammern (-W1 Schaden, Stufe 0);Glühwürmchen;Gnade des toten Heiligen ;Eldar;Verbittert;Ruhiges, verrücktes Gesicht.;Wenn zwei SC streiten, versuchst du immer zu vermitteln, verschlimmerst es aber regelmäßig;Du trägst eine Schleuder.;Vom Turm gestoßen, weil du zur falschen Zeit in die falsche Richtung gebetet hast.;Du hast eine heilige Stätte entweiht, nur um eine Wette zu gewinnen.
Seesack – 8 Gegenstände;Leeres Tintenfass;Ein Aufziehspielzeug eines Axtmörders. Macht ein leichtes surrendes und klirrendes Geräusch, wenn die Axt schwingt.;Ölgemälde eines vermummten Skeletts;Machete W6 Schaden;Geschnitzte Holzrüstungen (-W4 Schaden, Stufe 1);Toter Fisch W2 Schaden;Rüstung aus geschnürten Tierblasen (+W1 Schaden, Stufe -1);Grausamkeit;Greifende Schatten;Prügl;Betrügerisch;Chronischer Fußpilz. Stinkt.;Du kannst nicht pfeifen – aber du versuchst es ständig;Du verstehtst den Gesang der Insekten und Würmer.;Zu Tode geprügelt von Bauern, nachdem du „das Wasser des Lebens“ exklusiv verkauft hast.;Du hast absichtlich jemanden in eine Falle laufen lassen, die du selbst entdeckt hattest.
Sack – 10 Gegenstände;Kaputte Sonnenuhr;Ein Bowling-Pin mit einem sehr deutlichen Blutfleck darauf.;Fächer in Form einer Bärenklaue;Kurzschwert W6 Schaden;Gewänder aus Büffelhaut (-W2 Schaden, Stufe 1);Käsereibe W2 Schaden;Messingdraht-Korsett (-W1 Schaden, Stufe 0);Großer Vogel;Hauch der Dämmerung;Felban;Wachsam;Dein kürzlich aufgeschlitztes und stinkendes Auge ist mit einer Augenklappe abgedeckt.;Du hältst Schweigen für unhöflich und füllst jede Pause sofort;Du wirst von einem Golem verfolgt und beobachtet.;Verbrannt in der Nähe eines fehlgeschlagenen Hexenfeuers, als „Kollateralschaden“.;Du hast gestohlen, was jemand wirklich liebte, nicht was wertvoll war.
Fass (tragbar, schwer) – 10 Gegenstände;Hälfte eines Kamms;Ein Buch mit schmutzigen Kerkerwitzen.;exquisiter Seidenhandschuh;Kleinschwert W6 Schaden;Gläserne, geformte Platten (-W8 Schaden, Stufe 1);Suppenkelle W2 Schaden;Patchwork-Rüstung aus gesammelten Schilden (-W2 Schaden, Stufe 0);Gummientchen;Hermetischer Schritt ;Qillnach;Arrogant;Deine Nägel sind rissig und schwarz, vielleicht fallen sie bald ab.;"Immer wenn jemand „danke"" sagt, antwortest du mit „Das werden wir sehen""";Verbrennen oder verbrannt werden ist dein akzeptiertes Schicksal.;Erdrückt von deinem eigenen Hort aus wertlosem Plunder, als die morschen Regale nachgaben.;Du hast in einem wichtigen Moment einfach nichts getan, obwohl du helfen konntest.
Truhe auf Rädern – 15 Gegenstände;Drei identische Knöpfe;Ein dicker Ball aus Teer. Klebrig und breiig.;getrocknetes Fledermausfleisch;Säbel W6 Schaden;Gummianzug (-W2 Schaden, Stufe 1);Sehr schweres Buch W4 Schaden;Leuchtender Stoffoverall, zieht Angriffe an (+W1 Schaden, Stufe -1);Hackblock;Hunger des Leeren;Gotven;Abrasiv;Juckende Muttermale bedecken deinen Körper.;Du trägst einen kleinen Stein den du für einen Freund hältst. Er hat einen Namen. Du konsultierst ihn bei wichtigen Entscheidungen;Dein Fleisch heilt doppelt so schnell, aber das deiner Gefährten doppelt so langsam.;Von einem Wyvern verschlungen, der dich später enttäuscht wieder ausgespuckt hat – zu spät.;Du hast deine Kameraden im Kampf im Stich gelassen und sie später als „Helden“ verkauft.
Kleiner Wagen – 20 Gegenstände;Kleines Portrait einer unbekannten Person;Ein Eimer mit Farbe, die unmöglich schwarz sein kann.;Nasenring aus Kupfer;Zweiklingenschwert W10 Schaden;Hai-Anzug (-W4 Schaden, Stufe 1);Lebende Gans W2 Schaden;Mit Stroh ausgepolsterte Gardinen-Robe (-W1 Schaden, Stufe 0);Harken;Kelch der Umkehr;Risten;Manierlos;Ein kurzes Bein, ersetzt durch einen Holzpflock.;Du nennst alle beim falschen Namen und lässt dich auch nach Korrekturen nicht umstimmen;"Du siehst einen vieläugigen ""Schutzengel"".";Erwürgt von einem verfluchten Schal, den du trotz Warnung „nur kurz anprobieren“ wolltest.;Du hast ein wichtiges Schreiben gefälscht, das einen Krieg ausgelöst hat.
Sänfte (ohne Träger) – 20 Gegenstände;Kerze ohne Docht;Ein enthaupteter Kopf mit blutroten Blumen, die im Schädel wachsen.;zwei Augen in einem Gefäß;Claymore W10 Schaden;Kupferschuppen-Rüstung (-W4 Schaden, Stufe 1);Kerzenständer W4 Schaden;Gefrorener Schlammbrustpanzer (schmilzt schnell) (-W0 Schaden, Stufe 0);Irgendetwas;Kette der Reue;Graft;Selbstsicher;Ein dürres Gestell und ein gekrümmter Hals.;Du verlässt dich bei allen Entscheidungen auf den Geruch des Windes – auch wenn es keinen Wind gibt;Eine Grabjagd ging schief. Du siehst überall zornige Geister, sogar im Schlaf.;Beim Versuch, deinen eigenen Tod vorzutäuschen, wirklich gestorben.;Du hast einen heiligen Text verändert, um ihn besser zu verkaufen.
Schubkarre – 12 Gegenstände;Leere Flasche mit Korken;Ein frischer, kalter Krug Bier. Verdächtig...;{W6} Würfel (Knochen);Bastardschwert W8 Schaden;Lackierte Platten aus Stahl (-W6 Schaden, Stufe 1);Harke W4 Schaden;Rüstung aus Dutzenden Löffeln und Gabeln (+W1 Schaden, Stufe -1);Jazz-Hände;Knochenbrecher;Svind;Fanatisch;Zitternde Gliedmaßen, die nicht stillhalten wollen.;Du kannst nicht lügen, ohne es sofort zu bereuen — und es kurz darauf zu korrigieren. Meistens zu spät.;Aufgespießt von einer verfluchten Klinge. Du versteckst die immer stärker werdenden, sickerenden, beißenden Auswirkungen.;Erschlagen von einer Menge, die dich mit einem gesuchten Ketzer verwechselt hat.;Du hast einem Wesen ewige Treue geschworen und bist im ersten Moment geflohen, als es schwer wurde.
Großer Wagen – 40 Gegenstände;Notizbuch, alle Seiten leer;Ein Glasauge. Der Besitzer will es wahrscheinlich zurückhaben.;{W4} riesige Reißzähne;Sense W8 Schaden;Lebendiger Anzug aus zähem Fleisch (-W8 Schaden, Stufe 1);Bettstatt-Bein W4 Schaden;Goldene Zeremonienrüstung aus dünnem Blech (-W1 Schaden, Stufe 0);Kackwurst;Letztes Sakrament;Grin;Heuchlerisch;Langes Haar, vom Blut verfilzt.;Wenn du lügst, riecht es kurz nach verbranntem Haar.;Wacht eines Tages in einer Graven-Tosk-Grube auf. Neue Knochen wachsen in dir, ein zweites Skelett.;In einem Kartenspiel um deine Seele verloren – und der Einsatz wurde korrekt eingezogen.;Du hast wider besseres Wissen einen Dämon oder Basilisken als „harmlos“ beschrieben.
Esel – 15 Gegenstände;Notizbuch, alle Seiten vollgeschrieben aber unleserlich;Ein gläserner Schädel, in dem ein leuchtender Fisch herumschwimmt.;Latrinen-Eimer;Spatha W8 Schaden;Mit Flaschendeckel vernietete Lederbekleidung (-W4 Schaden, Stufe 1);Kleines Kind W2 Schaden;;Klopf Klopf;Licht des Verblassenden;Theras;Exzentrisch;Eine fehlende Nase, eine große Narbe.;Du kannst nur die Wahrheit sagen — aber du formulierst sie so, dass niemand sie glaubt.;Du bist kurz im Endlosen Meer ertrunken. Du erbrichst jeden Morgen fauliges Salzwasser.;Von einem lebendig gewordenen Wandgemälde verschlungen, das dich „realistischer machen“ wollte.;Du hast einen Kranken als „verflucht“ denunziniert, damit man ihn aus der Stadt jagt.
Maultier – 20 Gegenstände;Tote Topfpflanze;Ein grob behauener Eisenkelch mit einem eingemeißelten Koboldgesicht.;zerbrochene Harfe;Katana W8 Schaden;Mit Siegel geschmückte Lederriemen. (-W2 Schaden, Stufe 1);Sack voller Mäuse W2 Schaden;;Lächeln;Nabelschnur der Nacht;Grittr;Morbide;Keine Zähne, oder zumindest keine eigenen.;Du erinnerst dich an alle Lügen, die du je gehört hast. Keine einzige Wahrheit.;Du bist zu unnatürlich lebhaft. Du wirst von Rittern der Blutgräfin verfolgt.;Verblutet an einer winzigen Wunde, weil du das einzige Verbandszeug gegen Schnaps getauscht hast.;Du hast einem Gefangenen falsche Hoffnung gemacht, ihn befreit zu werden, um ihn gefügig zu halten.
Pferd mit Satteltaschen – 25 Gegenstände;Spiegel, der nur die linke Hälfte zeigt;Ein großes Glasgefäß mit Pflaumen-Apfelwein. Selbst gebraut und säuerlich.;gehörnter Helm;Schmetterlingsschwerter 2W6 Schaden;Mit Stacheln bedeckte Rüstung aus gebläutem Stahl (-W8 Schaden, Stufe 1);Weinschlauch W2 Schaden;;Laufen;Öffnung nach Unten;Therg;Einseitig;Schwimmhäute an Händen und Füßen.;Du stotterst beim Lügen.;Du bist ein niederer Adliger mit einer schlecht konstruierten Tarnidentität, der oft von Räubern verfolgt wird.;In einem einstürzenden Tunnel zerquetscht, den du selbst untergraben hast, um schneller zu sein.;Du hast eine ganze Ernte verdorben, um den Preis für dein eigenes Korn zu erhöhen.
Sehr überzeugter Träger (Fremder, unfreiwillig) – 30 Gegenstände;Schachfigur (Bauer);Ein kleiner Haufen von Steinen. Klein und steinig.;mit Scheiße beschmutzte Schöpfkelle;Sichel W8 Schaden;Mit Strass besetzte, bestickte Cabaret-Kleidung (-W2 Schaden, Stufe 1);Riesiger Rettich W2 Schaden;;Machen;Pesthauch des Alten;Haerü;Rätselhaft;Verkrustete Augenhöhlen, rot befleckt.;Wenn du eine Wahrheit sagst, entschuldigst du dich dafür.;Du bist ein Spion für König Fathmu XI. Scheitern bedeutet Verrat bedeutet Tod.;Auf einem Schiff vom Endlosen Meer gespült, während du gerade versucht hast, eine Möwe zu würgen.;Du hast einen Schwur auf die Schimmernden Felder gebrochen – bewusst und ohne Reue.
nichts;Löffel, sehr verbogen;Ein kleiner schwarzer Stein, der vollkommen rund ist. Wenn ein lautes Geräusch zu nahe am Stein gemacht wird, explodiert er.;trauriges Huhn in einem Käfig;Dreihänder W20 Schaden;Nietenbesetztes Lederwams (-W2 Schaden, Stufe 1);Käfig mit wütender Katze W4 Schaden;;Magierfuß;Roskoes verzehrender Glanz ;Torvul;Zögernd;Zentimeterlange Nägel, ungeschnitten und ungereinigt.;Du lügst nie direkt — aber du weißt sehr genau, wie man Wahrheiten so anordnet, dass sie falsch wirken.;Du trägst einen unvollendeten Wandteppich des Einen Wahren Glaubens bei dir. Du arbeitest wie besessen daran.;Von der Inquisition auf einem Scheiterhaufen verbrannt, den du eigentlich für jemand anderen vorbereitet hattest.;Du hast jemanden nur deshalb gerettet, weil du wusstest, dass er dir später nützlich sein würde.
nichts;Ei, ungeklärt ob frisch;Ein Leichenwurm, der mit jedem Gehirn, das er frisst, schlauer wird.;Pfeil im Schild;Streitkolben W6 Schaden;Panzer aus Keramikscheiben, mit blauer dekorativer Verglasung (-W4 Schaden, Stufe 1);Spazierstock W2 Schaden;;Maus der Rache;Ruf der Maden;Hargha;Ängstlich vor Verpflichtungen;Stämmig und robust.;Deine ehrlichsten Aussagen klingen wie Drohungen. Das ist dir nicht bewusst.;Du verschlingst Fingernägel. Alles andere schmeckt nach Asche, Fäulnis und Staub.;Erstickt unter einem Haufen gestohlener Leichenmasken, die bei einer Flucht auf dich kippten.;Du hast die Leiche eines Unschuldigen für ein Ritual benutzt, obwohl es Alternativen gab.
nichts;Stein mit aufgemaltem Gesicht;Ein magischer Wassersack. Das Wasser geht nie aus, aber das Leder ist sehr brüchig.;eine Handvoll menschlicher Zähne;Morgenstern W8 Schaden;Perlenbesetzter Federumhang (-W2 Schaden, Stufe 1);Tamburin W2 Schaden;;Melodie;Ruf des Namenlosen;Törn;Aggressiv;Ein nekrotisches Loch im Bein, das im Wind pfeift. ;Du gestehst Dinge, die du nicht getan hast — einfach weil die Stille unerträglich wird.;Eine Urne, die an deinen Rucksack geschnallt ist. Wenn es still ist, klappert etwas darin.;Ausrutscher auf einem mit „Wasser des Lebens“ übergossenen Boden – Genickbruch, sehr würdelos.;Du hast bewusst Gift in Umlauf gebracht, als wäre es Medizin.
nichts;Gefalteter Brief, bereits geöffnet, auf Fremder Sprache;Ein Nachttopf. Er ist voll. Da könnte ein Schatz drin sein.;kürzlich geschärfte Sense (W8);Hellebarde W8 Schaden;Riesige Insekten-Chitin-Platten (-W8 Schaden, Stufe 1);Unsichtbare Waffe W2 Schaden;;Mischen;Sanfter Abgang;Harmug;Kurzsichtig;Ein Spinnenbiss hat dein Gesicht zu einem geschwollenen Chaos gemacht.;Du teilst Geheimnisse immer mit genau einer weiteren Person. Zur Sicherheit, sagst du.;Du siehst Visionen von jemandes Zukunft, wenn du sein Haar isst. Du bist völlig kahl.;Von einem klobigen, halb fertigen Fleischgolem „zu Tode umarmt“.;Du hast jemanden aus Eifersucht bei der Inquisition als Ketzer gemeldet.
nichts;Kleines Schloss ohne Schlüssel;Ein reflektierender silberner Schädel. Groß genug, um ihn über dem eigenen Kopf zu tragen.;leere Parfümflasche;Glefe W8 Schaden;Römische Legionärs Rüstung (-W6 Schaden, Stufe 1);;;Nähte reparieren;Schleier des Vergessens;Urm;Stur;Eine Seite deines Gesichts ist stark verbrannt.;Wenn du etwas Wichtiges weißt, verrätst du es nie direkt — aber du stellst so lange Fragen dazu, bis es jeder weiß.;Sie verabscheuen den grauen Himmel. Du kannst nicht schlafen, ohne ein Loch zu graben und dich zu bedecken.;Im Duell gegen deinen eigenen Spiegelbild?Doppelgänger unterlegen, der nur minimal besser war.;Du hast einem sterbenden Feind Gnade versprochen und ihn danach langsam getötet.
nichts;Schlüssel ohne Schloss;Ein schöner Weidenkorb voller menschlicher Herzen.;einige Schlüssel ohne Schloss;Kriegssichel W8 Schaden;Rostiges Kettengeflecht (-W4 Schaden, Stufe 1);;;Nicht tun;Schleim des Vergessens;Jotna;Schelmisch;Adern, die sich wölben und pulsieren, als wäre dein Blut Haferschleim.;Du hast das Gefühl, dass ungesagte Wahrheiten dich körperlich belasten. Du wirkst zunehmend erschöpft, je mehr du weißt.;Du bist von einem Geist besessen, der von den Schimmernden Feldern plappert. Begehrt von den Basilisken.;Aus einem Fenster gejagt von Porzellanpuppen, die du jahrelang gestohlen hast.;Du hast einen Ort des Trostes (Hospiz, Tempel, Schenke) verraten, damit Feinde ihn finden.
;Getrocknete Blume, sehr zerbrechlich;Ein schreiendes Horn. Schrei in die eine Seite und dein Schrei kommt auf der anderen heraus.;Lederweste mit Nieten;Quarterstaff W6 Schaden;Rüstung aus gewachstem Leinen (-W2 Schaden, Stufe 1);;;Nudeln;Schrei des Hohlen;Urvarg;Grimmig;Eine beeindruckende Menge an Haaren.;Du vertraust ausschließlich Menschen, die dir einmal offen ins Gesicht gelogen haben.;Du bist verflucht, dich in Statuen zu verlieben, egal wie grotesk oder seltsam sie sind.;Verhungert, weil du einem verfluchten Löffel geglaubt hast, der „ewige Sättigung“ versprach.;Du hast bei einem Unfall nicht geholfen, sondern erst mal nach Wertgegenständen gesucht.
